Module,Function,Settings,Explanation
tensorflow,random_uniform(shape),"minval=0, maxval=None,
dtype=dtypes.float32,
seed=None, name=None","Outputs random values from a uniform distribution.
The generated values follow a uniform distribution in the range `[minval, maxval)`. The lower bound `minval` is included in the range, while the upper bound `maxval` is excluded.
For floats, the default range is `[0, 1)`.  For ints, at least `maxval` must be specified explicitly.
**shape**
A 1-D integer Tensor or Python array. The shape of the output tensor.
**minval**
A 0-D Tensor or Python value of type `dtype`. The lower bound on the range of random values to generate.  Defaults to 0.
**maxval**
A 0-D Tensor or Python value of type `dtype`. The upper bound on the range of random values to generate.  Defaults to 1 if `dtype` is floating point.
**dtype**
The type of the output: `float32`, `float64`, `int32`, or `int64`.
**seed**
A Python integer. Used to create a random seed for the distribution.
See @{tf.set_random_seed} for behavior.
**name**
A name for the operation (optional)."
tensorflow,Session(),"target='', graph=None, config=None","Creates a new TensorFlow session.
If no `graph` argument is specified when constructing the session, the default graph will be launched in the session. If you are using more than one graph (created with `tf.Graph()` in the same process, you will have to use different sessions for each graph, but each graph can be used in multiple sessions. In this case, it is often clearer to pass the graph to be launched explicitly to the session constructor."
tensorflow,"split(value, num_or_size_splits)","axis=0, num=None, name=""split""","Splits a tensor into sub tensors.
# contained in a list."
tensorflow,squeeze(input),"axis=None, name=None
squeeze_dims=None",Removes dimensions of size 1 from the shape of a tensor.
tensorflow,truncated_normal(shape),"mean=0.0, stddev=1.0,
dtype=dtypes.float32,
seed=None, name=None","Outputs random values from a truncated normal distribution.
The generated values follow a normal distribution with specified mean and standard deviation, except that values whose magnitude is more than 2 standard deviations from the mean are dropped and re-picked.
**shape**
A 1-D integer Tensor or Python array. The shape of the output tensor.
**mean**
A 0-D Tensor or Python value of type `dtype`. The mean of the truncated normal distribution.
**stddev**
A 0-D Tensor or Python value of type `dtype`. The standard deviation of the truncated normal distribution.
**dtype**
The type of the output.
**seed**
A Python integer. Used to create a random seed for the distribution.
See @{tf.set_random_seed} for behavior.
**name**
A name for the operation (optional)."
tensorflow,Variable(initial-value),,"Creates a new variable with value `initial_value`.
The new variable is added to the graph collections listed in `collections`, which defaults to `[GraphKeys.GLOBAL_VARIABLES]`.
If `trainable` is `True` the variable is also added to the graph collection `GraphKeys.TRAINABLE_VARIABLES`.
This constructor creates both a `variable` Op and an `assign` Op to set the variable to its initial value.
**initial_value**
A `Tensor`, or Python object convertible to a `Tensor`, which is the initial value for the Variable. The initial value must have a shape specified unless `validate_shape` is set to False. Can also be a callable with no argument that returns the initial value when called. In that case, `dtype` must be specified. (Note that initializer functions from init_ops.py must first be bound to a shape before being used here.)"
tensorflow,zeros(shape),"dtype=dtypes.float32, name=None","Creates a tensor with all elements set to zero.
This operation returns a tensor of type `dtype` with shape `shape` and all elements set to zero."
tensorflow.app,flags,,"Implementation of the flags interface.
# used for set parameter in cmd call"
tensorflow.app,run(),"main=None, argv=None",Runs the program with an optional 'main' function and 'argv' list.
tensorflow.contrib.legacy_seq2seq,"rnn_decoder(decoder_inputs, initial_state, cell)","loop_function=None, scope=None","RNN decoder for the sequence-to-sequence model.
**decoder_inputs**
A list of 2D Tensors [batch_size x input_size].
**initial_state**
2D Tensor with shape [batch_size x cell.state_size].
**cell**
rnn_cell.RNNCell defining the cell function and size.
**loop_function**
If not None, this function will be applied to the i-th output in order to generate the i+1-st input, and decoder_inputs will be ignored, except for the first element (""GO"" symbol)
**scope**
VariableScope for the created subgraph; defaults to ""rnn_decoder""."
tensorflow.contrib.rnn,BasicLSTMCell(num_units),[activation][reuse],"Basic LSTM recurrent network cell.
The implementation is based on: http://arxiv.org/abs/1409.2329."
tensorflow.contrib.rnn,BasicRNNCell(num_units),[activation][reuse],"The most basic RNN cell.
**num_units**
int, The number of units in the RNN cell.
**activation**
Nonlinearity to use.  Default: `tanh`.
**reuse**
(optional) Python boolean describing whether to reuse variables in an existing scope.  If not `True`, and the existing scope already has the given variables, an error is raised."
tensorflow.contrib.rnn,GRUCell(num_units),[activation][reuse],Gated Recurrent Unit cell (cf. http://arxiv.org/abs/1406.1078).
tensorflow.contrib.rnn,LSTMStateTuple(_LSTMStateTuple),,"Tuple used by LSTM Cells for `state_size`, `zero_state`, and output state.
Stores two elements: `(c, h)`, in that order.
Only used when `state_is_tuple=True`."
tensorflow.contrib.rnn,MultiRNNCell(cells),state_is_tuple=True,"Create a RNN cell composed sequentially of a number of RNNCells.
**cells**
list of RNNCells that will be composed in this order.
**state_is_tuple**
If True, accepted and returned states are n-tuples, where `n = len(cells)`.  If False, the states are all concatenated along the column axis.  This latter behavior will soon be deprecated.
**Raise**
ValueError: if cells is empty (not allowed), or at least one of the cells returns a state tuple but the flag `state_is_tuple` is `False`."
tensorflow.contrib.rnn,NASCell(num_units),[activation][reuse],Neural Architecture Search (NAS) recurrent network cell.
tensorflow.contrib.rnn.MultiRNNCell,.state_size,,# Return the state of the cell.
tensorflow.contrib.rnn.MultiRNNCell,"zero_state(batch_size, dtype)",,# initialize the state of multi-layer RNN cell.
tensorflow.nn,"dropout(x, keep_prob)","noise_shape=None
seed=None, name=None","Computes dropout.
# Using for avoide overfitting."
tensorflow.nn,"embedding_lookup(params, ids)","partition_strategy=""mod"",
name=None, validate_indices=True,
max_norm=None","Looks up `ids` in a list of embedding tensors.
"
tensorflow.Optimizer*,minimize(loss),"global_step=None, var_list=None,
gate_gradients=GATE_OP,
aggregation_method=None,
colocate_gradients_with_ops=False,
name=None, grad_loss=None","Add operations to minimize `loss` by updating `var_list`.
This method simply combines calls `compute_gradients()` and `apply_gradients()`. If you want to process the gradient before applying them call `compute_gradients()` and `apply_gradients()` explicitly instead of using this function.
**loss**
A `Tensor` containing the value to minimize.
**global_step**
Optional `Variable` to increment by one after the variables have been updated."
tensorflow.Session*,as_default(),,Returns a context manager that makes this object the default session.
tensorflow.Session*,close(),,"Closes this session.
Calling this method frees all resources associated with the session."
tensorflow.Session*,run(fetches),"feed_dict=None, options=None,
run_metadata=None",Runs operations and evaluates tensors in `fetches`.
tensorflow.Session*,"run(self, fetches)","feed_dict=None, options=None
run_metadata=None","Runs operations and evaluates tensors in `fetches`.
This method runs one ""step"" of TensorFlow computation, by running the necessary graph fragment to execute every `Operation` and evaluate every `Tensor` in `fetches`, substituting the values in `feed_dict` for the corresponding input values.
The `fetches` argument may be a single graph element, or an arbitrarily nested list, tuple, namedtuple, dict, or OrderedDict containing graph elements at its leaves.  A graph element can be one of the following types:
* An @{tf.Operation}.
  The corresponding fetched value will be `None`.
* A @{tf.Tensor}.
  The corresponding fetched value will be a numpy ndarray containing the value of that tensor.
* A @{tf.SparseTensor}.
  The corresponding fetched value will be a @{tf.SparseTensorValue} containing the value of that sparse tensor.
* A `get_tensor_handle` op.
  The corresponding fetched value will be a numpy ndarray containing the handle of that tensor.
* A `string` which is the name of a tensor or operation in the graph.
The value returned by `run()` has the same shape as the `fetches` argument, where the leaves are replaced by the corresponding values returned by TensorFlow."
tensorflow.Session*,"run(self, fetches)","feed_dict=None, options=None
run_metadata=None","Runs operations and evaluates tensors in `fetches`.
This method runs one ""step"" of TensorFlow computation, by running the necessary graph fragment to execute every `Operation` and evaluate every `Tensor` in `fetches`, substituting the values in `feed_dict` for the corresponding input values.
**fetches**
A single graph element, a list of graph elements, or a dictionary whose values are graph elements or lists of graph elements (described above).
**feed_dict**
A dictionary that maps graph elements to values (described above).
**options**
A [`RunOptions`] protocol buffer.
**run_metadata**
A [`RunMetadata`] protocol buffer."
tensorflow.Tensor*,.dtype,,The `DType` of elements in this tensor.
tensorflow.Tensor*,.graph,,The `Graph` that contains this tensor.
tensorflow.Tensor*,.name,,# Return the name of the tensor in the graph
tensorflow.Tensor*,.shape,,Returns the `TensorShape` that represents the shape of this tensor.
tensorflow.Tensor*,eval(),"feed_dict=None, session=None","Evaluates this tensor in a `Session`.
Calling this method will execute all preceding operations that produce the inputs needed for the operation that produces this tensor.
*N.B.*
Before invoking `Tensor.eval()`, its graph must have been launched in a session, and either a default session must be available, or `session` must be specified explicitly."
tensorflow.Tensor*,eval(self),"feed_dict=None, session=None","Evaluates this tensor in a `Session`.
Calling this method will execute all preceding operations that produce the inputs needed for the operation that produces this tensor.
*N.B.* Before invoking `Tensor.eval()`, its graph must have been launched in a session, and either a default session must be available, or `session` must be specified explicitly.
**feed_dict**
A dictionary that maps `Tensor` objects to feed values. See @{tf.Session.run} for a description of the valid feed values.
**session**
(Optional.) The `Session` to be used to evaluate this tensor. If none, the default session will be used.
**Returns**
A numpy array corresponding to the value of this tensor."
tensorflow.train,AdamOptimizer(),"learning_rate=0.001, beta1=0.9,
beta2=0.999, epsilon=1e-8,
use_locking=False, name=""Adam""",Optimizer that implements the Adam algorithm.
tensorflow.Variable*,.dtype,,The `DType` of this variable.
tensorflow.Variable*,"assign(self, value)",use_locking=False,"Assigns a new value to the variable.
This is essentially a shortcut for `assign(self, value)`.
**Args**
value: A `Tensor`. The new value for this variable.
use_locking: If `True`, use locking during the assignment.
**Returns**
A `Tensor` that will hold the new value of this variable after the assignment has completed."
torch,abs(input),out=None,Computes the element-wise absolute value of the given input tensor.
torch,"add(input, value)",out=None,"Adds the scalar value to each element of the input input and returns a new resulting tensor.
out=input+value
If input is of type FloatTensor or DoubleTensor, value must be a real number, otherwise it should be an integer."
torch,ceil(input),out=None,"Returns a new tensor with the ceil of the elements of input, the smallest integer greater than or equal to each element."
torch,"chunk(tensor, n_chunks)",dim=0,Splits a tensor into a specific number of chunks.
torch,"clamp(input, min, max)",out=None,"Clamp all elements in input into the range [min, max] and return a resulting tensor.
If input is of type FloatTensor or DoubleTensor, args min and max must be real numbers, otherwise they should be integers."
torch,"dot(tensor1, tensor2)",out=None,Computes the dot product (inner product) of two tensors.
torch,floor(input),out=None,"Returns a new tensor with the floor of the elements of input, the largest integer less than or equal to each element."
torch,"matmul(tensor1, tensor2)",out=None,"Matrix product of two tensors.
# complex."
torch,max(input),out=None,Returns the maximum value of all elements in the input tensor.
torch,mean(input),out=None,Returns the mean value of all elements in the input tensor.
torch,median(input),out=None,Returns the median value of all elements in the input tensor.
torch,min(input),out=None,Returns the minimum value of all elements in the input tensor.
torch,"mm(mat1, mat2)",out=None,Performs a matrix multiplication of the matrices mat1 and mat2.
torch,"mul(input, value)",out=None,"Multiplies each element of the input input with the scalar value and returns a new resulting tensor.
outi=value¡Áinputi
If input is of type FloatTensor or DoubleTensor, value should be a real number, otherwise it should be an integer."
torch,"pow(base, input)",out=None,"base is a scalar float value, and input is a tensor. The returned tensor out is of the same shape as input."
torch,randn(*sizes),out=None,Returns a tensor filled with random numbers from a normal distribution with zero mean and variance of one.
torch,round(input),out=None,Returns a new tensor with each of the elements of input rounded to the closest integer.
torch,sqrt(input),out=None,Returns a new tensor with the square-root of the elements of input.
torch,t(input),out=None,"Expects input to be a matrix (2-D tensor) and transposes dimensions 0 and 1.
Can be seen as a short-hand function for transpose(input, 0, 1)"
torch,Tensor(),,"Creates a new tensor from an optional size or data.
If no arguments are given, an empty zero-dimensional tensor is returned. If a numpy.ndarray, torch.Tensor, or torch.Storage is given, a new tensor that shares the same data is returned. If a Python sequence is given, a new tensor is created from a copy of the sequence."
torch.autograd,Variable(),"data, requires_grad, volatile","Variable is a thin wrapper around a Tensor object, that also holds the gradient w.r.t. to it, and a reference to a function that created it. This reference allows retracing the whole chain of operations that created the data. If the Variable has been created by the user, its grad_fn will be None and we call such objects leaf Variables.
Since autograd only supports scalar valued function differentiation, grad size always matches the data size. Also, grad is normally only allocated for leaf variables, and will be always zero otherwise.
**data**
(any tensor class)
Tensor to wrap.
**requires_grad**
(bool)
Value of the requires_grad flag. Keyword only.
**volatile**
(bool)
Value of the volatile flag. Keyword only."
torch.autograd.Variable*,.data,,Wrapped tensor of any type.
torch.autograd.Variable*,.grad,,"Variable holding the gradient of type and location matching the .data.
This attribute is lazily allocated and can¡¯t be reassigned."
torch.autograd.Variable*,.grad_fn,,Gradient function graph trace.
torch.autograd.Variable*,.is_leaf,,Boolean indicating if the Variable is a graph leaf (i.e if it was created by the user).
torch.autograd.Variable*,.requires_grad,,"Boolean indicating whether the Variable has been created by a subgraph containing any Variable, that requires it.
See Excluding subgraphs from backward for more details. Can be changed only on leaf Variables."
torch.autograd.Variable*,.volatile,,"Boolean indicating that the Variable should be used in inference mode, i.e. don¡¯t save the history.
See Excluding subgraphs from backward for more details. Can be changed only on leaf Variables."
torch.Tensor*,abs(),,See torch.abs()
torch.Tensor*,add(),,See torch.add()
torch.Tensor*,apply(),,"Applies the function callable to each element in the tensor, replacing each element with the value returned by callable."
torch.Tensor*,ceil(),,See torch.ceil()
torch.Tensor*,chunk(n_chunks),,"Splits this tensor into a certain number of tensor chunks.
See torch.chunk()."
torch.Tensor*,"clamp(min, max)",,See torch.clamp()
torch.Tensor*,clone(),,Returns a copy of the self tensor. The copy has the same size and data type as self.
torch.Tensor*,dot(),,See torch.dot()
torch.Tensor*,fill(),,Fills self tensor with the specified value.
torch.Tensor*,floor(),,See torch.floor()
torch.Tensor*,matmul(other),,"Matrix product of two tensors.
See torch.matmul()."
torch.Tensor*,max(),"dim=None, keepdim=False",See torch.max()
torch.Tensor*,mean(),,See torch.mean()
torch.Tensor*,median(),,See torch.median()
torch.Tensor*,min(),,See torch.min()
torch.Tensor*,mm(),,See torch.mm()
torch.Tensor*,mul(value),,See torch.mul()
torch.Tensor*,numpy(),,Returns self tensor as a NumPy ndarray. This tensor and the returned ndarray share the same underlying storage. Changes to self tensor will be reflected in the ndarray and vice versa.
torch.Tensor*,pow(exponent),,See torch.pow()
torch.Tensor*,round(),,See torch.round()
torch.Tensor*,sqrt(),,See torch.sqrt()
torch.Tensor*,sum(),"dim=None, keepdim=False",See torch.sum()
torch.Tensor*,t(),,See torch.t()
torch.Tensor*,tolist(),,Returns a nested list represenation of this tensor.
torch.Tensor*,transpose(),"dim0, dim1",See torch.transpose()
torch.Tensor*,type(),"new_type=None, async=False","Returns the type if new_type is not provided, else casts this object to the specified type.
If this is already of the correct type, no copy is performed and the original object is returned."
torch.Tensor*,zero_(),,Fills self tensor with zeros.
wand.image,Image(),"[image], [filename], [resolution]","An image object.
**param image**
makes an exact copy of the ``image``.
**param file**
opens an image of the ``file`` object.
**param filename**
opens an image of the ``filename`` string.
**param resolution**
set a resolution value (dpi), useful for vectorial formats (like pdf)."
wand.image.Image*,convert(format),,"Converts the image format with the original image maintained.
It returns a converted image instance which is new.
# png, jpeg are available.
with img.convert('png') as converted:
    converted.save(filename='converted.png')"
wand.image.Image*,save(file|filename),,Saves the image into the ``file`` or ``filename``. It takes only one argument at a time.
